Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
140,P199,140,"Save me, O LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,FILLMORE (INGALLS),"Ingalls, Jeremiah ",1764-1828,,,,,,,,200
141,P200,141,"O LORD, I call to you",Free Church of Scotland,n/a,pd,Sing Psalms,2003,SOUTHWELL,"Daman, Psalmes",1579,,,,,,,,201
142,P201,142,I cry for mercy,Free Church of Scotland,n/a,pd,Sing Psalms,2003,QUEBEC,"Baker, Henry ",1835-1910,,,,,,,,202
143,P202,143,"Hear now my prayer, O LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LOVE UNKNOWN,"Ireland, John N.",1879-1962,,,,,,,,203
144,P203,144,All praise to the LORD,FACR changed,354511 added,pd,"Otte, Helen ",b. 1931,ST. DENIO,Welsh,1839,,,,,,,,204
145,P204,145,I will exalt my God and King,1987,n/a,STTL/pd,Psalter Hymnal ,1987,JERUSALEM,"Parry, C. Hubert H.  ",1848-1918,,,Sing to the Lord,2012,,,,205
146,P206,146,"Hallelujah, praise Jehovah, O my soul",1957,n/a,pd,Psalter Hymnal,1957,RIPLEY,Gregorian chant,1839,,,"Mason, Lowell ",1792-1872,,,,206
147,P207,147,O sing ye hallelujah!,1957,n/a,pd,Psalter Hymnal,1957,HARTFORD,"Dykes, John B. ",1823-1876,,,,,,,,207
148,P208,148,"Hallelujah, praise Jehovah",1957,n/a,pd,Psalter Hymnal,1957,KIRKPATRICK,"Kirkpatrick, William J. ",1838-1921,,,,,,,,208
149,P209,149,Praise the LORD! Give him glory,Free Church of Scotland,n/a,FCS,Sing Psalms,2003,GREENBANK,"Gordon, Isobel ",b. 1969,,,,,,,,209
150,P211,150,Praise God in his holy temple,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MARCHING,"Shaw, Martin F. ",1875-1958,,,,,,,,211
151,H005,BOW158,Glory be to God the Father,pd,n/a,pd,"Bonar, Horatius ",1808-1889,REGENT SQUARE,"Smart, Henry",1813-1879,,,,,Composite,2011,121,
152,H257,PH317,"Come, thou almighty King",pd,n/a,pd,Anonymous,1757,ITALIAN HYMN,"Giardini, Felice de",1716-1796,,,,,,,11,
153,H006,BOW159,Glory be to God in heaven,Hope,449866,pd,"Perry, Michael A. ",1942-1996,ODE TO JOY,"Beethoven, Ludwig van ",1770-1827,,,,,,,,
154,H259,PH319,"All glory be to thee, Most High",pd,n/a,pd,Latin ,,ALLEIN GOTT,"Decius, Nicolaus;  ",c. 1485-1546,,,,,,,13,
155,H258,PH318,"Holy, holy, holy!",pd,n/a,HW Gray ,"Heber, Reginald ",1783-1826,NICAEA,"Dykes, John B. ",1823-1876,,,,,"Williams, David McKinley",1887-1978,12,
156,H007,BOW171,Stand up and bless the Lord,pd,n/a,pd,"Montgomery, James ",1771-1854,CARLISLE,"Lockhart, Charles",1745-1815,,,,,,,122,
157,H188,NPH233,Heavenly hosts in ceaseless worship,Hope,437153,pd,"Dudley-Smith, Timothy ",b. 1931,BETHANY (SMART),"Smart, Henry",1813-1879,,,,,,,222,
158,H004,BOW157,Give to our God immortal praise,pd,n/a,pd,"Watts, Isaac ",1674-1748,RIMINGTON,"Duckworth, Francis ",1862-1941,,,,,,,120,
159,H220,NTRIN075,"O Father, you are Sovereign",Hope,221871,pd,"Clarkson, Margaret",1915-2008,ST. THEODULPH,"Teschner, Melchior ",1584-1635,,,,,,,332,
160,H010,BOW181,Ascribe greatness,Crossroads,31391,Crossroads,"Kirkbride Barthow, Mary  ",,ASCRIBE GREATNESS,"King, Mary Lou  ",,,,,,,,125,
161,H126,N062,Give praise to God,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,SOLI DEO,"Jones, Paul S.",b. 1969,,,,,,,265,
162,H144,N173,Let all the world in every corner sing,pd,n/a,pd,"Herbert, George ",1593-1632,LUCKINGTON,"Harwood, Basil ",1859-1949,,,,,,,282,
163,H255,PH315,"O worship the King, all-glorious above",pd,n/a,pd,"Grant, Robert",1779-1838,LYONS,"Gardiner, Sacred Melodies",1815,,,"Haydn, J. Michael",1737-1806,,,9,
164,H002,NPH475,"Praise, my soul, the King of heaven",pd,n/a,pd,"Lyte, Henry F. ",1793-1847,LAUDA ANIMA,"Goss, John ",1800-1880,,,,,,,320,
165,H208,NPH466,Sing praise to the Lord,pd,n/a,pd,"Baker, Henry W. ",1821-1877,LAUDATE DOMINUM,"Parry, C. Hubert H.  ",1848-1918,,,,,,,319,
166,H076,BOW382,Sing praise to God who reigns above,pd,n/a,pd,"Schütz, Johann J. ",1640-1690,MIT FREUDEN ZART,"Bohemian Brethren, Kirchengesänge",1556,"Cox,  Frances ",1812-1897,,,,,184,
167,H253,PH311,"We praise thee, O God",pd,n/a,GIA/pd,"Cory, Julia C. ",1882-1963,KREMSER,"Valerius, Nederlandtsch Gedenckclanck",1626,,,"Kremser, Edward",1838-1914,"Withrow, Scott",1980,7,
168,H267,PH328,"My God, how wonderful thou art",pd,n/a,pd,"Faber, Frederick W. ",1814-1863,ST. ETHELDREDA,"Turton, Thomas",1780-1864,,,,,,,254,
169,H179,N391,No eye has seen,Crossroads,435313,Crossroads,"Altrogge, Mark ",b. 1950,HOW HIGH AND HOW WIDE,"Altrogge, Mark ",b. 1950,,,,,,,362,
170,H143,N154,God and God alone,Crossroads,24841,Crossroads,"McHugh, Phill ",b. 1951,GOD AND GOD ALONE,"MuHugh, Phill ",b. 1951,,,,,,,280,
171,H070,BOW360,"Immortal, invisible, God only wise",pd,n/a,pd,"Smith, Walter Chalmers ",1824-1908,ST. DENIO,Welsh,1839,,,,,,,177,
172,H218,NTRIN024,Vast the immensity,Hope,tacit permission,Hope,"Clowney, Edmund P. ",1917-2005,MAJESTAS,"Baughen, Michael ",b. 1930,"Clowney, Edmund P. ",1917-2005,"Tredinnick, Noël  ",b. 1949,,,331,
173,H327,PH408,Great is thy faithfulness,pd,18723,Hope,"Chisholm, Thomas O. ",1866-1960,FAITHFULNESS,"Runyan, William M. ",1870-1957,,,,,"Segger, Joachim ",b. 1956,66,
174,H113,BOW514,The God of Abraham praise,pd,n/a,pd,"Olivers, Thomas ",1725-1799,LEONI,Hebrew,,,,"Lyon, Meyer ",1751-1797,,,241,
175,H393,STTL156,"O God, our help in ages past",pd,n/a,pd,"Watts, Isaac",1674-1748,ST. ANN,"Croft, William ",1678-1727,,,,,,,6,
176,H164,N322,There’s a wideness in God’s mercy,pd,n/a,Cathedral Music,"Faber, Frederick W. ",1814-1863,CORVEDALE,"Bevan, Maurice ",1921-2006,,,,,,,302,
177,H001,BOW091,Safe in the shadow of the Lord,Hope,641781,Hope,"Dudley-Smith, Timothy ",b. 1933,CREATOR GOD,"Warren, Norman L.",b. 1934,,,,,,,,
178,H182,NPH169,I will sing of the mercies of the LORD,FACR,n/a,pd,"Post, Marie J. ",1919-1990,FILLMORE,"Fillmore, James H. ",1849-1936,,,,,,,215,
178,H182,NPH169,I will sing of the mercies of the LORD,pd,n/a,pd,"Fillmore, James H.",1849-1936,FILLMORE,"Fillmore, James H. ",1849-1936,,,,,,,215,
179,H177,N389,To the praise of his glorious grace,Emu Music,3122035,Emu Music,"Carson, Don A. ",b. 1946,GLORIOUS GRACE,"Boling, Paul",b. 1947,,,"Bakker, Carine",2012,,,314,
179,H177,N389,To the praise of his glorious grace,Emu Music,3122035,Emu Music,"Carson, Don A. ",b. 1946,GLORIOUS GRACE,"Edmonds, Gerald",b. 1936,,,,,,,314,
180,H210,STTL57b,I will give thanks to you,Universal Music,21112,Universal Music,"Chambers, Brent ",b. 1948,BE EXALTED,"Chambers, Brent",b. 1948,,,,,,,,69
181,H152,N248,The steadfast love of the Lord,STTL,n/a,TYM,"McNeill, Edith",b. 1920,STEADFAST LOVE,"McNeil, Edith ",b. 1920,,,,,,,291,
181,H152,N248,The steadfast love of the Lord,TYM,21590,TYM,"Goris, John  ",b. 1937,STEADFAST LOVE,"McNeil, Edith ",b. 1920,,,,,,,291,
182,H268,PH329,"O love of God, how strong and true",pd,n/a,pd,"Bonar, Horatius ",1808-1889,WAREHAM,"Knapp, William ",1698-1768,,,,,,,255,
183,H151,N245,The Lord's my shepherd,Crossroads,1585970,Crossroads,"Townend, Stuart ",b. 1963,PSALM 23,"Townend, Stuart ",b. 1963,,,,,,,290,
184,H389,STTL152,The king of love my shepherd is,pd,n/a,Graham,"Baker, Henry W. ",1821-1877,ST. COLUMBA,Irish ,,,,,,"Treffinger Graham, Melva ",b. 1947,2,
184,H389,STTL152,The king of love my shepherd is,pd,n/a,pd,"Baker, Henry W. ",1821-1877,DOMINUS REGIT ME,"Dykes, John B. ",1823-1876,Book of Worship,1990,,,,,2,
185,H067,BOW354,All creatures of our God and King,pd,n/a,Mayhew/pd,Francis of Assisi,1225,LASST UNS ERFREUEN,"Geistliche Kirchengesänge, Cologne",1623,"Draper, William H.  ",1855-1933,"Vaughan Williams, Ralph",1872-1958,"Gower, Christopher ",b. 1939,237,
186,H073,BOW368,All things bright and beautiful,pd,n/a,pd,"Alexander, Cecil Frances ",1818-1895,ALL THINGS BRIGHT ,"Monk, William. H. ",1823-1889,,,,,,,181,
187,H168,N335,Fill your hearts with joy,Hope,437177,pd,"Dudley-Smith, Timothy ",b. 1930,REGENT SQUARE,"Smart, Henry",1813-1879,,,,,,,306,
188,H068,BOW355,For the beauty of the earth,pd,n/a,pd,"Pierpoint, Folliott Sandford",1835-1917,LUCERNA LAUDONIAE,"Evans, David",1874-1948,,,,,,,,
189,H207,NPH455,For the fruits of his creation,Stainer and Bell,4353731,Francis Jackson,"Green, Fred Pratt ",1903-2000,EAST ACKLAM,"Jackson, Francis ",b. 1917,,,,,,,318,
190,H206,NPH453,Let all things now living,E.C. Schirmer Music Co.,2763859,Desc: Schirmer,"Davis, Katherine K. ",1892-1980,ASH GROVE,Welsh,,,,,,"Davis, Katherine K. ",1892-1980,317,
191,H072,BOW367,How great thou art,Crossroads,14181,harm: Crossroads,"Hine, Stuart K. ",1899-1989,O STORE GUD,Swedish ,,,,"Hine, Stuart K. ",1899-1989,,,180,
192,H071,BOW363,We plough the fields,pd,n/a,pd,"Claudius, Matthias ",1740-1815,WIR PFLÜGEN,"Schulz, Johann A.P. ",1747-1800,"Campbell, Jane M. ",1817-1878,,,,,178,
193,H302,PH374,This is my Father's world,pd,n/a,pd,"Babcock, Maltbie D. ",1858-1901,TERRA BEATA,English,,,,"Sheppard, Franklin L. ",1852-1930,,,43,
194,H066,BOW352,All my hope on God is founded,pd,n/a,G. Schirmer Aust,"Neander, Joachim ",1650-1680,MICHAEL,"Howells, Herbert N.  ",1892-1983,"Bridges, Robert ",1844-1930,,,,,173,
195,H361,PH461,God moves in a mysterious way,pd,n/a,pd,"Cowper, William ",1731-1800,DUNDEE,Scottish Psalter,1615,,,,,,,95,
196,H069,BOW358,If you but trust in God to guide you,pd,n/a,pd,"Neumark, Georg ",1621-1681,NEUMARK,"Neumark, Georg ",1621-1681,,,,,,,176,
197,H205,NPH451,What God ordains is always right,Lutheran BOW rev.,n/a,pd,"Rodigast, Samuel ",1649-1708,WAS GOTT TUT,"Gastorius, Severus ",d. 1678,"Grindal, Gracia ",,,,,,179,This has been proofed at BOW 365
198,H155,N270,Alive in Christ,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,SOLA GRATIA,"Jones, Paul S.",b. 1969,,,,,,,293,
199,H184,NPH219,As Moses raised the serpent up,FACR,733060 added,STTL,"Post, Marie J.",1919-1990,O WALY WALY,English ,,,,Sing to the Lord,2008,,,218,
200,H307,PH380,Amazing grace – how sweet the sound,pd,n/a,pd,"Newton, John",1725-1807,NEW BRITAIN,Virginia Harmony ,1831,,,"Excell, Edwin O. ",1851-1921,,,47,
201,H254,PH314,"Come, thou fount of every blessing",pd,n/a,pd,"Robinson, Robert ",1735-1790,NETTLETON,"Wyeth, Repository of Sacred Music, Part II",1813,,,,,,,8,
202,H128,N064,"How marvellous, how wise, how great",Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,SPRUCE STREET,"Jones, Paul S.",b. 1969,,,,,,,267,
203,H180,N392,I am convinced,Scripture in Song,120563,Scripture in Song,"Gall, Ian ",20th cent.,I AM CONVINCED,"Gall, Ian ",20th cent.,,,,,,,316,
204,H191,N193,"Oh, the mercy of God",CopyCare Pacific,1930937,CopyCare Pacific,"Bullock, Geoff",b. 1955,BULLOCK,"Bullock, Geoff",b. 1955,,,,,,,,
205,H146,N187,O how the grace of God,Church Mission Society,n/a,Church Mission Society,"Sibomana, Emmanuel T. ",1915-1975,GRACE OF GOD,"Barff, Frederick J. ",20th cent.,"Guillebaud, Rosemary ",1915-2002,,,,,284,
206,H077,BOW385,To God be the glory,pd,n/a,pd,"Crosby, Fanny J. ",1820-1915,TO GOD BE THE GLORY,"Doane, William H.",1832-1915,,,,,,,185,
207,H170,N373,"Come, let us join our cheerful songs",pd,n/a,pd,"Watts, Isaac ",1674-1748,NATIVITY,"Lahee, Henry ",1826-1912,,,,,,,308,
208,H074,BOW371,All hail the power of Jesus’ name!,pd,n/a,pd,"Perronet, Edward",1726-1792,DIADEM,"Ellor, James",1819-1899,,,,,,,182,
208,H074,BOW371,All hail the power of Jesus’ name!,pd,n/a,pd,"Rippon, John",1751-1836,DIADEM,"Ellor, James",1819-1899,,,,,,,182,
208,H074,BOW371,All hail the power of Jesus’ name!,pd,n/a,pd,"Perronet, Edward",1726-1792,MILES LANE,"Shrubsole, William ",1760-1806,,,,,,,182,
208,H074,BOW371,All hail the power of Jesus’ name!,pd,n/a,pd,"Rippon, John",1751-1836,MILES LANE,"Shrubsole, William ",1760-1806,,,,,,,182,
209,H301,PH373,Beautiful Saviour!,pd,n/a,Desc. K. Hull; tune pd,"Gesangbuch, Münster ",1677,CRUSADERS' HYMN,Silesian ,1842,"Seiss, Joseph A. ",1823-1904,,,"Hull, Kenneth ",b. 1952,42,
210,H167,N330,"Christ triumphant, ever reigning",Hope,647778,Hope,"Saward, Michael ",b. 1932,GUITING POWER,"Barnard, John ",b. 1948,,,,,,,305,
211,H134,N119,"Come, people of the risen King",Crossroads,5232617,Crossroads,"Getty, Keith ",b. 1974,"COME, PEOPLE","Getty, Keith  ",b. 1974,,,,,,,270,
211,H134,N119,"Come, people of the risen King",Crossroads,5232617,Crossroads,"Getty, Kristyn ",b. 1980,"COME, PEOPLE","Getty, Kristyn ",b. 1980,,,,,,,270,
211,H134,N119,"Come, people of the risen King",Crossroads,5232617,Crossroads,"Townend, Stuart ",b. 1963,"COME, PEOPLE","Townend, Stuart ",b. 1963,,,,,,,270,
212,H303,PH375,"Jesus, the very thought of thee",pd,n/a,pd,Latin ,11th cent.,ST. AGNES,"Dykes, John B. ",1823-1876,"Caswall, Edward ",1814-1878,,,,,44,
213,H136,N127,You’re the Word of God,Crossroads,3709898,Crossroads,"Getty, Keith  ",b. 1974,ACROSS THE LANDS,"Getty, Keith  ",b. 1974,,,,,,,272,
213,H136,N127,You’re the Word of God,Crossroads,3709898,Crossroads,"Townend, Stuart ",b. 1963,ACROSS THE LANDS,"Townend, Stuart ",b. 1963,,,,,,,272,
214,H310,PH384,How sweet the name of Jesus sounds,pd,n/a,pd,"Newton, John",1725-1807,ST. PETER,"Reinagle, Alexander R. ",1799-1877,,,,,,,50,
215,H342,PH432,"I greet thee, who my sure Redeemer art",pd,n/a,pd,"Calvin, John ",1509-1564,JE TE SALUE,Genevan Psalter,1551,"Smith, Elizabeth L.  ",1817-1898,,,,,77,
215,H342,PH432,"I greet thee, who my sure Redeemer art",pd,n/a,pd,"Calvin, John ",1509-1564,TOULON,Genevan Psalter,1551,"Smith, Elizabeth L.  ",1817-1898,,,,,77,
216,H135,N121,In Christ alone,Crossroads,3350395,Crossroads,"Getty, Keith",b. 1974,IN CHRIST ALONE,"Getty, Keith  ",b. 1974,,,,,,,271,
216,H135,N121,In Christ alone,Crossroads,3350395,Crossroads,"Townend, Stuart ",b. 1963,IN CHRIST ALONE,"Townend, Stuart ",b. 1963,,,,,,,271,
217,H075,BOW378,Join all the glorious names,pd,n/a,pd,"Watts, Isaac ",1674-1748,DARWALL'S 148th,"Darwall, John ",1731-1789,,,,,,,183,
218,H345,PH439,I will sing of my Redeemer,pd,n/a,pd,"Bliss, Philip P. ",1838-1876,HYFRYDOL,"Prichard, Rowland Hugh ",1811-1887,,,,,,,79,
219,H090,BOW444,"Jesus loves me, this I know",pd,n/a,pd,"Warner, Anna B.",1824-1915,JESUS LOVES ME,"Bradbury, William B. ",1816-1868,,,,,,,198,
220,H045,BOW297,My song is love unknown,Hope,2246493,pd,"Crossman, Samuel ",c. 1624-1683,LOVE UNKNOWN,"Ireland, John N.",1879-1962,,,,,,,153,
221,H091,BOW448,"Love divine, all loves excelling",pd,n/a,pd,"Wesley, Charles ",1707-1788,LOVE DIVINE,"Stainer, John",1840-1901,,,,,,,199,
222,H309,PH383,O for a thousand tongues to sing,pd,n/a,pd,"Wesley, Charles ",1707-1788,AZMON,"Gläser, Carl G. ",1784-1829,,,"Mason, Lowell ",1792-1872,,,49,
222,H309,PH383,O for a thousand tongues to sing,pd,n/a,pd,"Wesley, Charles ",1707-1788,LYNGHAM,"Jarman, Thomas ",1776-1862,,,,,,,49,
223,H048,BOW304,Praise to the Holiest,pd,n/a,pd,"Newman, John H. ",1801-1890,RICHMOND,"Haweis, Thomas ",1734-1820,,,"Webbe, Samuel",1740-1816,,,156,
223,H048,BOW304,Praise to the Holiest,pd,n/a,pd,"Newman, John H. ",1801-1890,GERONTIUS,"Dykes, John B. ",1823-1876,,,,,,,156,
224,H304,PH376,"O Christ, our hope, our heart's desire",pd,n/a,pd,Latin ,7th cent.,BRADFORD,"Handel, George F. ",1685-1759,"Chandler, John ",1806-1876,,,,,45,
225,H141,N142,Christ is the world's light,Stainer and Bell,5190010,pd,"Green, Fred Pratt ",1903-2000,CHRISTE SANCTORUM,Paris Antiphoner,1681,,,,,,,278,
226,H008,BOW173,"We come, O Christ, to you",Hope,733785chang'd,pd,"Clarkson, Margaret",1915-2008,EASTVIEW,"Lee, James V.",1892-1959,,,,,,,123,
227,H026,BOW253,"O Lord, how shall I meet you",pd,n/a,pd,"Gerhardt, Paul ",1607-1676,ST. THEODULPH,"Teschner, Melchior ",1584-1635,"Winkworth, Catherine ",1827-1878,,,,,139,
228,H261,PH322,When morning gilds the skies,pd,n/a,pd,German,19th cent.,LAUDES DOMINI,"Barnby, Joseph ",1838-1896,"Caswall, Edward ",1814-1878,,,,,,
229,H079,BOW406,You servants of God,pd,n/a,pd,"Wesley, Charles ",1707-1788,HANOVER,"Croft, Wlliam ",1678-1727,,,,,"Gray, Alan ",1855-1935,187,
230,H183,NPH192,The people who in darkness walked,pd,n/a,pd,"Morrison, John ",1750-1798,"LOBT GOTT, IHR CHRISTEN","Herman, Nikolaus ",1485-1561,,,"Bach, Johann S. ",1685-1750,,,216,
231,H025,BOW251,For unto us a child is born,pd,n/a,unknown,Isaiah 9:6,1972,FOR UNTO US,Anonymous,20th cent.,,,,,,,138,
232,H270,PH331,"O come, O come, Emmanuel",pd,n/a,pd,Latin ,12th cent.,VENI EMMANUEL,"Processionale, French",15th cent.,"Neale, John M. ",1818-1866,"Helmore, Thomas ",1811-1890,,,16,
233,H273,PH335,"Come, thou long-expected Jesus",pd,n/a,desc. OUP; tune pd,"Wesley, Charles ",1707-1788,STUTTGART,"Witt, Christian F. ",1660-1716,,,"Gauntlett, Henry J. ",1805-1876,"Wilson, John ",1905-1992,18,
234,H325,PH406,"Comfort, comfort ye my people",pd,n/a,pd,"Olearius, Johannes ",1611-1684,THIRSTING,Genevan Psalter,1551,"Winkworth, Catherine ",1827-1878,Koraalboek vir Psalms en Gesange,,,,64,
235,H271,PH332,My soul doth magnify the Lord,pd,n/a,pd,"Westra, Dewey",1899-1979,PENTECOST,"Boyd, William ",1847-1928,,,,,,,,
236,H022,NPH478,"Tell out, my soul",Hope,27051,pd,"Dudley-Smith, Timothy ",b. 1928,WOODLANDS,"Greatorex, Walter ",1877-1949,,,,,,,321,
237,H139,N139,Blest be the God of Israel,Hope,287884,pd,"Daw, Carl P., Jr.",b. 1944,SONG OF ZACHARIAS,"Sheets, Dorothy Howell ",1915-2011,,,,,,,275,
238,H027,BOW256,A great and mighty wonder,"Hope, rev. (C)",4746898,pd,German,c. 634-732,ES IST EIN' ROS,German ,,"Neale, John M. ",1818-1866,"Praetorius, M.",1571-1621,,,140,
239,H028,BOW257,Angels we have heard on high,pd,n/a,pd,French ,19th cent.,GLORIA,French ,,Crown of Jesus Music,1862,"Barnes, Edward S. ",1887-1958,,,141,
240,H277,PH339,Hark! the herald angels sing,pd,n/a,pd,"Wesley, Charles ",1707-1788,MENDELSSOHN,"Mendelssohn, Felix ",1809-1847,,,"Cummings, William H. ",1831-1915,,,22,
241,H278,PH340,"Angels, from the realms of glory",pd,n/a,pd,"Montgomery, James ",1771-1854,REGENT SQUARE,"Smart, Henry",1813-1879,,,,,,,23,
242,H281,PH346,"Christians, awake, salute the happy morn",pd,n/a,pd,"Byrom, John",1692-1763,YORKSHIRE,"Wainwright, John",1723-1768,,,,,,,26,
243,H279,PH341,"O come, all ye faithful",pd,n/a,desc Hymns A&M; tune pd,"Wade, John F. ",c. 1711-1786,ADESTE FIDELES,"Wade, John F. ",c. 1711-1786,"Oakeley,  Frederick ",1802-1880,,,Hymns Ancient and Modern Ltd,1947,24,
244,H040,BOW282,"Go, tell it on the mountain",pd,n/a,pd,"Work, John W.  ",1871-1925,GO TELL IT,Afro-American spiritual,19th cent,,,Composite,,,,151,
245,H276,PH338,While shepherds watched their flocks ,pd,n/a,pd,"Tate, Nahum ",1652-1715,WINCHESTER OLD,"Este, The Whole Book of Psalmes",1592,,,,,"Gray, Alan ",1855-1935,21,
246,H029,BOW258,All my heart this night rejoices,"Hope, rev.",diff tune,pd,"Gerhardt, Paul ",1607-1676,BONN,"Ebeling, Johann G. ",1637-1676,"Winkworth, Catherine ",1827-1878,,,,,142,
246,H029,BOW258,All my heart this night rejoices,"Hope, rev.",1721868,pd,"Gerhardt, Paul ",1607-1676,ALL MY HEART,"Peacock, David ",b. 1949,"Winkworth, Catherine ",1827-1878,,,,,142,
247,H280,PH344,"Break forth, O beauteous heavenly light",st.1 pd; ,n/a,pd,"Rist, Johann                             ",1607-1667,ERMUNTRE DICH,"Schop, Johann ",c. 1590-1667,"Troutbeck, John  ",1832-1899,"Bach, Johann S.  ",1685-1750,,,25,
247,H280,PH344,"Break forth, O beauteous heavenly light",st2 Covenant Publications,965986,pd,"Johnson, Norman E.                 ",1928-1983,ERMUNTRE DICH,"Schop, Johann ",c. 1590-1667,,,,,,,25,
248,H039,BOW281,See in yonder manger low,pd,n/a,pd,"Caswall, Edward ",1814-1878,HUMILITY (GOSS),"Goss, John ",1800-1880,,,,,,,235,
249,H030,BOW261,Child in a manger,pd,n/a,pd,"Macdonald, Mary ",1789-1872,BUNESSAN,Gaelic ,,"Macbean, Lachland ",1853-1931,"Siegersma, Joanne",1984,,,143,
250,H031,BOW262,Come and sing the Christmas story,Hope,4756297,harm. Hope,"Perry, Michael A. ",1942-1996,AR HYD Y NOS,Welsh ,,,,"Barnard, John",b. 1948,,,144,
251,H032,BOW263,Come ye here in adoration,pd,n/a,pd,Dutch,,"KOMT, VERWONDERT",Dutch ,,,,Composite,,,,145,
252,H035,BOW272,O little town of Bethlehem,pd,n/a,pd,"Brooks, P.",1835-1893,FOREST GREEN,English ,,,,"Vaughan Williams, Ralph ",1872-1958,,,148,
252,H035,BOW272,O little town of Bethlehem,pd,n/a,pd,"Brooks, P.",1835-1893,ST. LOUIS,"Redner, Lewis H. ",1831-1908,,,,,,,148,
253,H036,BOW273,Once in royal David's city,pd,n/a,pd,"Alexander, Cecil F. ",1818-1895,IRBY,"Gauntlett, Henry J. ",1805-1876,,,,,,,149,
254,H038,BOW275,Praise God the Lord,pd,n/a,pd,"Hermann, Nikolaus",c. 1480-1561,"LOBT GOTT, IHR CHRISTEN","Herman, Nikolaus ",1485-1561,"Crull, August",1845-1923,"Bach, Johann S.",1685-1750,,,,
255,H034,BOW267,"Good Christians all, rejoice",pd,n/a,pd,Latin ,Medieval,IN DULCI JUBILO,German,14th cent.,"Neale, John M. ",1818-1866,,,,,147,
256,H272,PH334,"Now may thy servant, Lord",FACR,6283751 n/a,pd,"Westra, Dewey",1899-1979,NUNC DIMITTIS,"Bourgeois, Louis ",c. 1510-c. 1561,,,"Goudimel, Claude ",c. 1505-1572,,,17,
256,H272,PH334,"Now may thy servant, Lord",FACR,6283751 n/a,pd,"Westra, Dewey",1899-1979,NUNC DIMITTIS,"Bourgeois, Louis ",c. 1510-c. 1561,,,"Goudimel, Claude ",c. 1505-1572,,,17,
257,H041,BOW283,As with gladness men of old,pd,n/a,pd,"Dix, William Chatterton ",1837-1898,DIX,"Kocher, Conrad ",1786-1872,,,,,"Nicholson, Sydney H.",1875-1947,,
258,H023,BOW248,Hark! a thrilling voice is sounding,pd,n/a,desc. 1987; Tune pd,Latin,6th cent.,MERTON,"Monk, William H. ",1823-1889,"Caswell, Edward",1814-1878,,,Psalter Hymnal,1987,136,
259,H274,PH336,How bright appears the Morning Star,pd,n/a,pd,"Nicolai, Philip ",1556-1608,WIE SCHÖN LEUCHTET,"Nicolai, Philip ",1556-1608,"Mercer, William ",1811-1873,"Bach, Johann S.  ",1685-1750,,,19,
260,H037,BOW274,Of the Father’s love begotten,pd,n/a,pd,"Prudentius, Aurelia Clemens ",348-c. 413,DIVINUM MYSTERIUM,Plainsong,12th cent.,"Baker, Henry W.",1835-1877,"Douglas, Charles Winfred",1867-1944,,,150,
260,H037,BOW274,Of the Father’s love begotten,pd,n/a,pd,"Prudentius, Aurelia Clemens ",348-c. 413,DIVINUM MYSTERIUM,Plainsong,12th cent.,"Neale, John M. ",1818-1866,"Douglas, Charles Winfred",1867-1944,,,150,
261,H198,NPH335,"Hark, the glad sound!",pd,n/a,desc G. Schirmer; tune pd,"Doddridge, Philip ",1702-1751,RICHMOND,"Haweis, Thomas ",1734-1820,,,"Webbe, Samuel ",1740-1816,"Lang, Craig S. ",1891-1971,230,
262,H275,PH337,Joy to the world!,pd,n/a,pd,"Watts, Isaac",1674-1748,ANTIOCH,"Mason, Lowell ",1792-1872,,,,,,,20,
263,H111,BOW510,I cannot tell,pd,110119,pd CCLI # applies to tune arr. (not ours),"Fullerton , Wlliam Y. ",1857-1932,LONDONDERRY AIR,Irish ,,,,,,,,249,
263,H111,BOW510,I cannot tell,RSCM st. 3,110119 (?),pd,"O'Connor, Michael  ",2010,LONDONDERRY AIR,Irish ,,,,,,,,249,
264,H199,NPH341,Let all mortal flesh keep silence,pd,n/a,pd,Liturgy of St. James,,PICARDY,French ,17th cent.,"Moultrie, Gerard ",1829-1885,,,,,231,
265,H145,N175,"Lord, you were rich",Hope,5765490,pd,"Houghton, Frank ",1894-1972,FRAGRANCE,French ,,,,,,,,283,
266,H221,NTRIN239,"Who is this, so weak and helpless",pd,n/a,pd,"How, William Walsham ",1823-1897,EIFIONYDD,"Lloyd, John Ambrose ",1815-1874,,,,,,,333,
267,H042,BOW290,Songs of thankfulness and praise,Hope,307056,pd,"Wordsworth, Christopher",1807-1855,ST. GEORGE'S WINDSOR,"Elvey, George J. ",1816-1893,,,,,,,,
268,H043,BOW293,"Ride on, ride on in Majesty",pd,n/a,pd,"Milman, Henry H. ",1791-1868,ST. DROSTANE,"Dykes, John B. ",1823-1876,,,,,,,152,
